Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Wonderwall","Oasis","(What's The Story) Morning Glory?","journey","Playlist","GBAAW9500189","1qPbGZqppFwLwcBC1JQ6Vr"
"The Less I Know The Better","Tame Impala","Currents","journey","Playlist","AUUM71500303","6K4t31amVTZDgR3sKmwUJJ"
"Photograph","Nickelback","All the Right Reasons","journey","Playlist","NLA320581256","3hb2ScEVkGchcAQqrPLP0R"
"Bitch, Don’t Kill My Vibe","Kendrick Lamar","good kid, m.A.A.d city (Deluxe)","journey","Playlist","USUM71210774","5h5tBFnbcVioFXiOixTn6E"
"Nonstop","Drake","Scorpion","journey","Playlist","USCM51800191","0TlLq3lA83rQOYtrqBqSct"
"Iron Lung","King Gizzard & The Lizard Wizard","Iron Lung","journey","Playlist","AU2ZC2200022","7G69PANdawtb2rsG2ZGEQa"
"I Cry","Flo Rida","Wild Ones","journey","Playlist","USAT21202584","4bZd0nRuX8HyjeXAUBczvm"
"Good Feeling","Flo Rida","Wild Ones","journey","Playlist","USAT21101961","2LEF1A8DOZ9wRYikWgVlZ8"
"Club Can't Handle Me (feat. David Guetta)","Flo Rida","Only One Flo (Part 1)","journey","Playlist","USAT21001281","6ebkx7Q5tTxrCxKq4GYj0Y"
"First Class","Jack Harlow","Come Home The Kids Miss You","journey","Playlist","USAT22203024","0wHFktze2PHC5jDt3B17DC"
"Fearless Pt. II","Lost Sky","Fearless Pt. II","journey","Playlist","GB2LD1700381","4y1nvncvBhdoelqPMyXxis"
"You Make Me Feel... (feat. Sabi)","Cobra Starship","Night Shades","journey","Playlist","USAT21100959","16Of7eeW44kt0a1M0nitHM"
"Run This Town","JAY-Z","The Blueprint 3","journey","Playlist","USJZ10900010","7LR85XLWw2yXqKBSI5brbG"
"Whatcha Say","Jason Derulo","Jason Derulo (International)","journey","Playlist","USWB10901504","7xkQdy0cy5ymoWT7nedvLz"
"Changed the Way You Kiss Me - Radio Edit","Example","Playing In The Shadows","journey","Playlist","GBCEN1100336","1PAYgOjp1c9rrZ2kVQg2vN"
"Heads Will Roll - A-Trak Remix Radio Edit","Yeah Yeah Yeahs","Good Morning Music: Wake Up Workout","journey","Playlist","USUM70906805","5qGIfWDRdyO67LCTqA2sEn"
"Only Girl (In The World)","Rihanna","Loud (Japan Version)","journey","Playlist","USUM71023200","2ENexcMEMsYk0rVJigVD3i"
"E.T.","Katy Perry","Teenage Dream: The Complete Confection","journey","Playlist","USCA21100386","1CUk09iecf4kLvLuhxerdS"
"Apologize","Timbaland","Shock Value","journey","Playlist","USUM70722793","6ucR4KfvsBFWCMVFDvyKKl"
